exclude,type,authors_full,date,title,abstract,tldr,venue,venue_abbrev,short_title,prof_venue,award,...13,pdf,materials,ebook,blog,full_talk,full_talk_embed,teaser_video,teaser_video_embed,bibtex,short_cv,professional_2_page,featured,image,project,doctoral_dissertation,sigchi_description,sigchi_award_description
yes,journal article,NA,NA,NA,NA,"Many people feel a lack of agency over their app use, which is linked to negative life effects such as loss of sleep. 
From a survey of 120 U.S. users, we find that autoplay and recommendations primarily undermine sense of agency on YouTube, while search and playlists support it. 
From 13 co-design sessions, we find that when users have a specific intention for how they want to use YouTube they prefer interfaces that support greater agency.",NA,NA,NA,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,thesis-chapter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,thesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,conference paper,NA,NA,NA,NA,"Many people feel a lack of agency over their app use, which is linked to negative life effects such as loss of sleep. 
From a survey of 120 U.S. users, we find that autoplay and recommendations primarily undermine sense of agency on YouTube, while search and playlists support it. 
From 13 co-design sessions, we find that when users have a specific intention for how they want to use YouTube they prefer interfaces that support greater agency.",NA,NA,NA,Proceedings of the 2021 CHI Conference on Human Factors in Computing Systems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,workshop paper,NA,NA,NA,NA,NA,NA,NA,The Reducing Digital Distraction Workshop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,extended abstract,NA,NA,NA,NA,NA,NA,NA,Communal Technology Use in Smart Homes,Proceedings of the 2018 CHI Conference Extended Abstracts on Human Factors in Computing Systems,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
yes,research report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,book chapter,Sarah E O'Connor,2021-12-01,Managing the Cyber-Related Risks to Space Activities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,research report,"Lisa Sharland, Netta Goussac, Emilia Currey, Genevieve Feely, and Sarah O'Connor",2021-09-13,"System Update: Towards a Women, Peace and Cybersecurity Agenda",NA,NA,NA,NA,NA,NA,NA,"https://www.google.com/search?client=safari&rls=en&q=System+Update:+Towards+a+Women,+Peace+and+Cybersecurity+Agenda+%7C+U%E2%80%A6&ie=UTF-8&oe=UTF-8",https://www.unidir.org/sites/default/files/2021-09/UNIDIR_System_Update.pdf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,pop-writing,Sarah O'Connor,2020-10-29,Cyber-enabled foreign interference in elections on the rise,NA,NA,NA,NA,NA,NA,NA,https://www.aspistrategist.org.au/cyber-enabled-foreign-interference-in-elections-on-the-rise/,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,research report,"Sarah O'Connor, Fergus Hanson, Emilia Currey , Tracy Beattie",2020-10-29,Cyber-enabled foreign interference in elections and referendums,NA,NA,NA,NA,NA,NA,NA,https://www.aspi.org.au/report/cyber-enabled-foreign-interference-elections-and-referendums,https://s3-ap-southeast-2.amazonaws.com/ad-aspi/2020-10/Cyber%20enabled%20foreign%20interference_0.pdf?VersionId=QnX7Dz7akMiLSP5xHWYYo8ZitxOt2_i7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,pop-writing,Sarah O'Connor,2020-05-20,We're all losers in the space arms race,NA,NA,NA,NA,NA,NA,NA,https://www.lowyinstitute.org/the-interpreter/we-re-all-losers-space-arms-race,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,research report,"Fergus Hanson, Sarah O'Connor, Mali Walker, Luke Courtois",2019-05-20,Hacking democracies: Cataloguing cyber-enabled attacks on elections,NA,NA,NA,NA,NA,NA,NA,https://www.aspi.org.au/report/hacking-democracies,https://s3-ap-southeast-2.amazonaws.com/ad-aspi/2019-05/Hacking%20democracies_0.pdf?VersionId=.RKLLc8uKm1wobfWH1VvC.C88xGWYY29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
